rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,raerr1,raerr2,decstr,dec,decerr1,decerr2,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidsymerr,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpersymerr,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandurhsymerr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepsymerr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radesymerr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_tmagsymerr,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffsymerr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggsymerr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radsymerr,toi_created,rowupdate
420,1351.01,1351,1718201850,1718201850,1,APC,19h06m59.17s,286.746549,,,+71d42m43.9s,71.712195,,,-42.869,1.094,-1.094,0,1,2.803,1.441,-1.441,0,1,2460500.409,0.001428,-0.001428,0,1,5.9294711,0.0000129,-0.0000129,0,1,3.647,0.342,-0.342,0,1,14582,576.899,-576.899,0,1,,,,0,1,,,,,,,,,,,10.3267,0.02,-0.02,0,1,125.308,16.6305,-16.6305,0,1,,,,0,1,,,,0,1,,,,0,1,2019/10/30 21:47,2024/8/29 10:08
421,1352.01,1352,336740528,336740528,1,APC,22h18m57.25s,334.738559,,,+61d08m56.36s,61.148988,,,14.02,1.44,-1.44,0,1,12.843,1.483,-1.483,0,1,2458740.626,0.00133,-0.00133,0,1,5.29625,0.00054,-0.00054,0,1,3.07,0.134,-0.134,0,1,4741.26,1.99973,-1.99973,0,1,14.6325,2.04104,-2.04104,0,1,360.497,,,,,1213,,,,,10.4209,0.006,-0.006,0,1,315.0431,,,0,1,5958.7,484.3,-484.3,0,1,,,,0,1,1.93,0.29,-0.29,0,1,2019/10/30 21:47,2021/10/29 12:59
422,1353.01,1353,279177746,279177746,1,FP,20h55m32.44s,313.885156,,,+46d30m07.51s,46.502085,,,-0.511,0.062,-0.062,0,1,3.17,0.055,-0.055,0,1,2459850.822,0.001571,-0.001571,0,1,4.4350026,0.0000103,-0.0000103,0,1,1.888,0.656,-0.656,0,1,1170,215.722,-215.722,0,1,8.69525,0.846701,-0.846701,0,1,2060.1,,,,,1876,,,,,10.1503,0.075,-0.075,0,1,464.209,8.1325,-8.1325,0,1,9706,667.9,-667.9,0,1,4.29,0.12,-0.12,0,1,1.87,0.14,-0.14,0,1,2019/10/30 21:47,2023/8/29 12:02
423,1354.01,1354,365683032,365683032,1,FP,20h48m43.19s,312.179957,,,+51d54m38.51s,51.910696,,,6.909,0.081,-0.081,0,1,3.48,0.073,-0.073,0,1,2458716.301,0.01164,-0.01164,0,1,1.42904,0.00048,-0.00048,0,1,3.291,0.452,-0.452,0,1,1210,160.281,-160.281,0,1,6.96344,,,0,1,164126,,,,,5607,,,,,8.78822,0.01,-0.01,0,1,245.776,2.9185,-2.9185,0,1,9224,163,-163,0,1,4.37,,,0,1,1.65,,,0,1,2019/10/30 21:47,2021/10/29 12:59
424,1355.01,1355,372264750,372264750,1,PC,22h05m13.83s,331.307643,,,+66d46m31.07s,66.775296,,,15.593,0.049,-0.049,0,1,7.409,0.056,-0.056,0,1,2459853.582,0.000217,-0.000217,0,1,2.1702725,0.0000144,-0.0000144,0,1,2.1417853,0.0105882,-0.0105882,0,1,5156.773536,31.161726,-31.161726,0,1,15.2590586,0.5568011,-0.5568011,0,1,11706.95491,,,,,2652.960208,,,,,8.65269,0.006,-0.006,0,1,248.148,1.6655,-1.6655,0,1,9218,636.1,-636.1,0,1,4.27,0.09,-0.09,0,1,1.8527499,0.0672563,-0.0672563,0,1,2019/10/30 21:47,2023/5/19 16:02
425,1356.01,1356,277566483,277566483,1,PC,20h44m46.7s,311.19458,,,+54d30m07.78s,54.502161,,,-3.497,0.21,-0.21,0,1,-5.428,0.164,-0.164,0,1,2459849.242,0.000397,-0.000397,0,1,24.2544697,0.0000178,-0.0000178,0,1,17.486,0.221,-0.221,0,1,8802,29.9571,-29.9571,0,1,,,,0,1,1556.33,,,,,1749,,,,,8.9468,0.044,-0.044,0,1,4772.59,1787.66,-1787.66,0,1,8381.3,409.2,-409.2,0,1,,,,0,1,,,,0,1,2019/10/30 21:47,2023/5/19 10:10
426,1357.01,1357,357972447,357972447,1,FP,21h07m49.39s,316.955806,,,+50d30m03.18s,50.500883,,,-16.389,0.064,-0.064,0,1,-11.604,0.066,-0.066,0,1,2460393.797,0.00179,-0.00179,0,1,0.33759,0.00005,-0.00005,0,1,1.351,0.189,-0.189,0,1,529,28.4954,-28.4954,0,1,2.96097,0.156624,-0.156624,0,1,9164.98,,,,,2725,,,,,10.2193,0.006,-0.006,0,1,254.401,2.292,-2.292,0,1,7387,515.6,-515.6,0,1,4.39,0.1,-0.1,0,1,1.37,0.05,-0.05,0,1,2019/10/30 21:47,2024/5/13 10:08
427,1358.01,1358,275501623,275501623,1,FP,21h20m27.87s,320.116115,,,+61d07m12.9s,61.12025,,,5.307,0.103,-0.103,0,1,3.776,0.087,-0.087,0,1,2458739.599,0.00213,-0.00213,0,1,1.67346,0.00002,-0.00002,0,1,2.54,0.181,-0.181,0,1,390,0.354149,-0.354149,0,1,5.10182,,,0,1,19786.3,,,,,3304,,,,,8.63701,0.006,-0.006,0,1,356.681,5.825,-5.825,0,1,10445,124,-124,0,1,4.09,,,0,1,2.45,,,0,1,2019/10/30 21:47,2021/10/29 12:59
428,1359.01,1359,416624606,416624606,1,FP,20h40m09.13s,310.038053,,,+50d19m25.47s,50.323742,,,3.547,0.057,-0.057,0,1,-39.384,0.049,-0.049,0,1,2459821.804,0.001312,-0.001312,0,1,2.5152549,0.0000044,-0.0000044,0,1,2.386,0.193,-0.193,0,1,1870,130.449,-130.449,0,1,13.4294,2.72798,-2.72798,0,1,4740.94,,,,,2311,,,,,10.2732,0.024,-0.024,0,1,335.203,3.774,-3.774,0,1,5915,191,-191,0,1,3.82,0.09,-0.09,0,1,2.11,0.1,-0.1,0,1,2019/10/30 21:47,2022/10/3 16:02
429,136.01,136,410153553,410153553,1,CP,22h41m59.09s,340.496204,,,-69d10m19.59s,-69.172108,,,334.357,0.083,-0.083,0,1,-726.974,0.086,-0.086,0,1,2459036.324,0.000381,-0.000381,0,1,0.4628844,0.0000152,-0.0000152,0,1,0.5588219,0.0882818,-0.0882818,0,1,4489.911922,173.90933,-173.90933,0,1,1.3543237,0.1815751,-0.1815751,0,1,64.718104,,,,,723.3961549,,,,,11.9238,0.008,-0.008,0,1,14.8846,0.0113,-0.0113,0,1,3043,63,-63,0,1,5.09707,0.426694,-0.426694,0,1,0.188624,0.0057103,-0.0057103,0,1,2018/9/5 18:51,2021/10/29 12:59
