,rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,raerr1,raerr2,decstr,dec,decerr1,decerr2,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidsymerr,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpersymerr,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandurhsymerr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepsymerr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radesymerr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_tmagsymerr,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffsymerr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggsymerr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radsymerr,toi_created,rowupdate,hour_angle_at_19,hour_angle_at_22,alt_at_19,alt_at_22,az_at_19,az_at_22
1379,1380,2154.01,2154,428787891,428787891.0,1,CP,04h44m06.76s,71.028148,,,+84d21m51.35s,84.364265,,,-10.783,0.036,-0.036,0.0,1.0,15.218,0.043,-0.043,0.0,1.0,2459768.103,0.000245,-0.000245,0,1,3.8240826,2.6e-06,-2.6e-06,0,1,2.5172521,0.0150334,-0.0150334,0,1,10096.10986,71.32192,-71.32192,0,1,16.0547024,0.7449469,-0.7449469,0,1,1005.894626,,,,,1436.342039,,,,,10.6611,0.009,-0.009,0,1,296.46,2.1585,-2.1585,0,1,6243.0,133.5,-133.5,0,1,4.24,0.08,-0.08,0,1,1.38719,0.0639749,-0.0639749,0,1,2020/8/10 17:26,2023/6/13 16:02,213.971852,258.971852,30.271032345778618,33.73935856290808,2.985429446203609,5.460582325491682
1867,1868,2574.01,2574,159332859,159332859.0,1,PC,15h31m14.29s,232.809527,,,+79d16m02.02s,79.267227,,,-0.462,0.027,-0.027,0.0,1.0,5.111,0.028,-0.028,0.0,1.0,2459760.399,0.000369,-0.000369,0,1,4.4817684,2.5e-06,-2.5e-06,0,1,2.186,0.066,-0.066,0,1,21180.0,1.00645,-1.00645,0,1,19.0204,0.867642,-0.867642,0,1,277.661,,,,,1137.0,,,,,12.881,0.007,-0.007,0,1,834.038,9.0895,-9.0895,0,1,6734.0,131.5,-131.5,0,1,4.41,0.09,-0.09,0,1,1.25,0.06,-0.06,0,1,2021/3/18 22:24,2022/10/5 10:10,52.190473,97.190473,41.07613310691846,32.98696189918572,350.7414578230613,349.5198452928102
1871,1872,2578.01,2578,104986789,104986789.0,1,PC,04h32m12.5s,68.052102,,,+52d15m09.56s,52.252655,,,4.401,0.064,-0.064,0.0,1.0,-33.767,0.043,-0.043,0.0,1.0,2459911.48,0.000644,-0.000644,0,1,3.4580018,0.0001485,-0.0001485,0,1,2.6231719,0.0304778,-0.0304778,0,1,10218.25584,154.09003,-154.09003,0,1,14.7324849,0.8543144,-0.8543144,0,1,1028.485592,,,,,1444.339547,,,,,10.5863,0.006,-0.006,0,1,285.53,3.476,-3.476,0,1,6427.8,105.1,-105.1,0,1,4.35,0.09,-0.09,0,1,1.2663,0.0721458,-0.0721458,0,1,2021/3/18 22:24,2023/3/6 16:02,216.947898,261.947898,3.0250146923134857,22.53790989098702,17.988403494657657,35.46889082981843
1872,1873,2579.01,2579,103751498,103751498.0,1,KP,10h29m38.96s,157.412341,,,+70d31m37.5s,70.527083,,,-46.527,0.05,-0.05,0.0,1.0,-9.597,0.047,-0.047,0.0,1.0,2459600.117,0.000219,-0.000219,0,1,3.7146478,1.5e-06,-1.5e-06,0,1,3.835,0.024,-0.024,0,1,12620.0,0.126216,-0.126216,0,1,15.2308,0.759299,-0.759299,0,1,698.148,,,,,1432.0,,,,,10.9101,0.007,-0.007,0,1,281.498,2.5655,-2.5655,0,1,5783.0,125.2,-125.2,0,1,4.21,0.07,-0.07,0,1,1.32,0.07,-0.07,0,1,2021/3/18 22:24,2022/6/28 16:02,127.587659,172.587659,21.974845054993086,15.662827366833145,346.3187433937154,357.9025281651261
3075,3076,3661.01,3661,370123525,370123525.0,1,PC,01h27m10.13s,21.792202,,,+58d57m38.3s,58.96064,,,4.088,4.072,-4.072,0.0,1.0,-9.506,4.072,-4.072,0.0,1.0,2459906.756,0.001748,-0.001748,0,1,2.6480838,7.1e-06,-7.1e-06,0,1,3.42,0.779,-0.779,0,1,11090.0,647.138,-647.138,0,1,,,,0,1,714.2873204,,,,,1318.523835,,,,,12.8309,0.007,-0.007,0,1,,,,0,1,,,,0,1,,,,0,1,,,,0,1,2021/6/23 15:17,2024/9/8 10:08,263.207798,308.207798,26.199237458026168,48.82431804948695,29.648758214363916,32.60158649002462
3078,3079,3664.01,3664,348437470,348437470.0,1,PC,02h21m14.04s,35.308494,,,+59d42m42.69s,59.711857,,,-7.624,0.045,-0.045,0.0,1.0,8.731,0.04,-0.04,0.0,1.0,2459906.71,0.001543,-0.001543,0,1,3.2975093,9.4e-06,-9.4e-06,0,1,2.511,0.265,-0.265,0,1,13404.0,623.99,-623.99,0,1,12.8987,0.778444,-0.778444,0,1,349.544,,,,,1204.0,,,,,12.91,0.006,-0.006,0,1,464.748,4.821,-4.821,0,1,5556.0,213.2,-213.2,0,1,4.29,0.09,-0.09,0,1,1.18,0.06,-0.06,0,1,2021/6/23 15:17,2024/9/4 12:02,249.691506,294.691506,20.603162538071185,41.90246174922891,25.626091632659275,32.61982937711336
3092,3093,3677.01,3677,458876004,458876004.0,1,FP,02h23m21.09s,35.837872,,,+60d53m23.87s,60.889963,,,7.889,0.031,-0.031,0.0,1.0,-2.851,0.05,-0.05,0.0,1.0,2458814.425,0.000781,-0.000781,0,1,3.6923071,0.000229,-0.000229,0,1,1.139,0.191,-0.191,0,1,14130.0,15.647,-15.647,0,1,14.2002,1.08284,-1.08284,0,1,375.352,,,,,1226.0,,,,,11.9814,0.006,-0.006,0,1,369.583,4.4955,-4.4955,0,1,8469.0,780.2,-780.2,0,1,4.68,0.12,-0.12,0,1,1.1,0.08,-0.08,0,1,2021/6/23 15:17,2024/9/2 12:03,249.162128,294.162128,21.061332995510046,41.62432218191099,24.561143970467562,31.153557785328907
3102,3103,3686.01,3686,13533330,13533330.01,1,PC,02h27m36.14s,36.900563,,,+59d57m09.8s,59.952721,,,-13.858,0.063,-0.063,0.0,1.0,-3.451,0.073,-0.073,0.0,1.0,2459884.347,0.000556,-0.000556,0,1,5.0778064,0.0001727,-0.0001727,0,1,3.6413963,0.0444983,-0.0444983,0,1,14469.3182,169.63617,-169.63617,0,1,14.9343184,0.9164556,-0.9164556,0,1,340.2177584,,,,,1095.365339,,,,,11.2381,0.006,-0.006,0,1,255.803,2.09,-2.09,0,1,5262.0,159.8,-159.8,0,1,4.2,0.09,-0.09,0,1,1.24347,0.0743216,-0.0743216,0,1,2021/6/23 15:17,2024/9/10 10:08,248.099437,293.099437,20.090627057047428,41.102849878025715,24.997941489939745,32.31736875618136
3116,3117,3699.01,3699,266401846,266401846.0,1,PC,04h03m44.98s,60.937413,,,+50d14m10.34s,50.236205,,,2.378,0.046,-0.046,0.0,1.0,-3.838,0.036,-0.036,0.0,1.0,2459912.279,0.001858,-0.001858,0,1,3.0423931,0.000383,-0.000383,0,1,2.7491505,0.1361716,-0.1361716,0,1,10703.72462,467.70886,-467.70886,0,1,18.1780385,1.0154984,-1.0154984,0,1,2668.918327,,,,,1833.1735,,,,,12.7775,0.027,-0.027,0,1,770.947,15.8075,-15.8075,0,1,7046.0,223.5,-223.5,0,1,4.19,0.09,-0.09,0,1,1.65768,0.0732965,-0.0732965,0,1,2021/6/23 15:18,2024/9/10 10:08,224.062587,269.062587,3.692483614382303,25.61547544768064,22.190555084241076,39.49301004043684
3119,3120,3701.01,3701,266213232,266213232.0,1,PC,04h01m27.1s,60.362935,,,+49d15m54.9s,49.265249,,,1.666,0.049,-0.049,0.0,1.0,-10.599,0.041,-0.041,0.0,1.0,2459911.333,0.002419,-0.002419,0,1,4.2605739,0.0007174,-0.0007174,0,1,2.5821706,0.1712993,-0.1712993,0,1,20069.26663,1051.8398,-1051.8398,0,1,15.3220568,0.9476163,-0.9476163,0,1,359.3500241,,,,,1110.450411,,,,,13.4313,0.029,-0.029,0,1,514.526,7.0715,-7.0715,0,1,5457.0,122.0,-122.0,0,1,4.35,,,0,1,1.0759,,,0,1,2021/6/23 15:18,2024/9/10 10:08,224.637065,269.637065,3.1100792071595516,25.545965392065746,22.948119834481837,40.626203970246756
